id_registro,fecha,mes,dia_semana,dia_semana_num,hora,franja_horaria,es_fin_semana,es_feriado,administracion_zonal,tipo_incidente,intensidad_esperada,conteo_incidentes,alta_demanda
152,2025-01-13,1,lunes,0,22,Noche,0,0,Manuela Sáenz,Robo de autopartes,2.458125,0,0
153,2025-06-09,6,lunes,0,1,Madrugada,0,0,Manuela Sáenz,Incidente de tránsito,3.1171875,2,0
154,2025-11-23,11,domingo,6,21,Noche,1,0,Manuela Sáenz,Incidente de tránsito,3.9965625,3,0
155,2025-07-06,7,domingo,6,17,Tarde,1,0,Tumbaco,Robo de vehículos,2.7405,1,0
156,2025-08-31,8,domingo,6,16,Tarde,1,0,Manuela Sáenz,Incidente de tránsito,2.4806250000000003,4,1
157,2025-03-27,3,jueves,3,6,Mañana,0,0,Manuela Sáenz,Vandalismo,2.35125,2,0
158,2025-10-11,10,sábado,5,12,Tarde,1,0,La Delicia,Robo a personas,3.6855000000000007,4,1
159,2025-03-07,3,viernes,4,17,Tarde,0,0,Los Chillos,Alteración del orden público,3.6975,4,1
160,2025-06-19,6,jueves,3,13,Tarde,0,0,Manuela Sáenz,Robo a personas,3.3665625,5,1
161,2025-02-14,2,viernes,4,17,Tarde,0,0,Eloy Alfaro,Vandalismo,4.2282,2,0
162,2025-03-03,3,lunes,0,12,Tarde,0,1,Eugenio Espejo,Robo a personas,3.7166849999999996,5,1
163,2025-05-14,5,miércoles,2,10,Mañana,0,0,Tumbaco,Robo a personas,1.7313750000000003,2,0
164,2025-10-11,10,sábado,5,20,Noche,1,0,Quitumbe,Robo de autopartes,5.2026,6,1
165,2025-01-28,1,martes,1,20,Noche,0,0,Tumbaco,Alteración del orden público,2.5828124999999997,1,0
166,2025-04-18,4,viernes,4,15,Tarde,0,1,Aeropuerto,Vandalismo,1.63296,4,1
167,2025-02-13,2,jueves,3,22,Noche,0,0,Tumbaco,Incidente de tránsito,1.3466250000000002,2,0
168,2025-12-06,12,sábado,5,16,Tarde,1,0,Quitumbe,Robo de autopartes,3.2292,3,0
169,2025-10-13,10,lunes,0,7,Mañana,0,0,La Delicia,Robo a personas,2.8215000000000003,6,1
170,2025-11-27,11,jueves,3,18,Noche,0,0,Eloy Alfaro,Emergencia comunitaria,3.1613624999999996,5,1
171,2025-05-08,5,jueves,3,19,Noche,0,0,Aeropuerto,Alteración del orden público,2.410625,4,1
172,2025-12-14,12,domingo,6,14,Tarde,1,0,Eugenio Espejo,Robo de autopartes,2.9161124999999997,7,1
173,2025-08-19,8,martes,1,8,Mañana,0,0,Manuela Sáenz,Robo de vehículos,3.1350000000000002,1,0
174,2025-07-09,7,miércoles,2,19,Noche,0,0,Calderón,Robo de autopartes,3.009837499999999,4,1
175,2025-08-13,8,miércoles,2,9,Mañana,0,0,Eugenio Espejo,Robo de vehículos,2.3598,5,1
176,2025-10-10,10,viernes,4,11,Mañana,0,0,Quitumbe,Emergencia comunitaria,2.2032,8,1
177,2025-05-01,5,jueves,3,20,Noche,0,1,Quitumbe,Alteración del orden público,4.958999999999999,3,0
178,2025-04-26,4,sábado,5,22,Noche,1,0,La Delicia,Vandalismo,2.1060000000000003,0,0
179,2025-08-21,8,jueves,3,19,Noche,0,0,Los Chillos,Alteración del orden público,2.9271874999999996,1,0
180,2025-09-16,9,martes,1,0,Madrugada,0,0,Manuela Sáenz,Robo a personas,4.0078125,3,0
181,2025-12-25,12,jueves,3,19,Noche,0,1,La Delicia,Vandalismo,2.9753999999999996,3,0
182,2025-07-17,7,jueves,3,8,Mañana,0,0,Quitumbe,Alteración del orden público,3.1350000000000002,4,1
183,2025-05-17,5,sábado,5,21,Noche,1,0,Calderón,Robo a personas,4.835025,4,1
184,2025-11-14,11,viernes,4,14,Tarde,0,0,Tumbaco,Alteración del orden público,2.3625,4,1
185,2025-06-14,6,sábado,5,0,Madrugada,1,0,Eugenio Espejo,Robo de vehículos,4.484999999999999,1,0
186,2025-08-13,8,miércoles,2,11,Mañana,0,0,Calderón,Vandalismo,1.4620499999999998,1,0
187,2025-11-03,11,lunes,0,2,Madrugada,0,1,Manuela Sáenz,Robo de autopartes,4.096875,3,0
188,2025-08-22,8,viernes,4,10,Mañana,0,0,Aeropuerto,Emergencia comunitaria,1.2852,1,0
189,2025-06-21,6,sábado,5,1,Madrugada,1,0,Eugenio Espejo,Robo a personas,5.045625,6,1
190,2025-06-01,6,domingo,6,15,Tarde,1,0,Calderón,Robo de autopartes,2.064825,0,0
191,2025-11-11,11,martes,1,8,Mañana,0,0,Eloy Alfaro,Incidente de tránsito,2.962575,6,1
192,2025-06-09,6,lunes,0,14,Tarde,0,0,Manuela Sáenz,Vandalismo,2.2443750000000002,4,1
193,2025-04-06,4,domingo,6,11,Mañana,1,0,La Delicia,Robo a personas,2.5515000000000003,3,0
194,2025-08-21,8,jueves,3,0,Madrugada,0,0,Los Chillos,Robo de vehículos,2.4225,1,0
195,2025-06-29,6,domingo,6,12,Tarde,1,0,Quitumbe,Robo de vehículos,3.1752000000000002,3,0
196,2025-04-23,4,miércoles,2,13,Tarde,0,0,Aeropuerto,Alteración del orden público,1.745625,0,0
197,2025-11-14,11,viernes,4,7,Mañana,0,0,La Delicia,Emergencia comunitaria,2.244,2,0
198,2025-02-21,2,viernes,4,7,Mañana,0,0,La Delicia,Emergencia comunitaria,2.244,3,0
199,2025-09-25,9,jueves,3,11,Mañana,0,0,Eloy Alfaro,Robo de autopartes,2.654775,3,0
200,2025-10-22,10,miércoles,2,0,Madrugada,0,0,Tumbaco,Vandalismo,1.603125,1,0
201,2025-04-23,4,miércoles,2,10,Mañana,0,0,Manuela Sáenz,Robo de autopartes,2.458125,1,0
202,2025-04-11,4,viernes,4,7,Mañana,0,0,Los Chillos,Robo a personas,3.0294000000000003,6,1
203,2025-04-23,4,miércoles,2,9,Mañana,0,0,Los Chillos,Alteración del orden público,1.816875,2,0
204,2025-03-22,3,sábado,5,18,Noche,1,0,Aeropuerto,Incidente de tránsito,2.77095,1,0
205,2025-07-06,7,domingo,6,10,Mañana,1,0,Quitumbe,Emergencia comunitaria,1.9278000000000002,2,0
206,2025-04-23,4,miércoles,2,6,Mañana,0,0,Calderón,Alteración del orden público,2.481875,3,0
207,2025-01-02,1,jueves,3,10,Mañana,0,0,Tumbaco,Alteración del orden público,1.603125,1,0
208,2025-05-10,5,sábado,5,16,Tarde,1,0,Eloy Alfaro,Incidente de tránsito,3.3169500000000007,3,0
209,2025-08-08,8,viernes,4,0,Madrugada,0,0,Quitumbe,Robo de autopartes,4.14,6,1
210,2025-02-23,2,domingo,6,20,Noche,1,0,Eloy Alfaro,Robo de vehículos,4.932900000000001,3,0
211,2025-12-09,12,martes,1,20,Noche,0,0,La Delicia,Incidente de tránsito,2.89275,3,0
212,2025-08-12,8,martes,1,7,Mañana,0,0,Manuela Sáenz,Vandalismo,2.35125,2,0
213,2025-08-13,8,miércoles,2,22,Noche,0,0,Manuela Sáenz,Robo de vehículos,2.565,5,1
214,2025-05-06,5,martes,1,23,Noche,0,0,Eugenio Espejo,Robo de autopartes,2.2614749999999995,1,0
215,2025-05-10,5,sábado,5,5,Madrugada,1,0,La Delicia,Robo de autopartes,2.691,3,0
216,2025-02-22,2,sábado,5,21,Noche,1,0,Quitumbe,Robo a personas,6.107400000000001,5,1
217,2025-06-21,6,sábado,5,17,Tarde,1,0,Eloy Alfaro,Incidente de tránsito,5.343975,7,1
218,2025-08-06,8,miércoles,2,5,Madrugada,0,0,La Delicia,Robo de autopartes,1.9664999999999997,3,0
219,2025-06-09,6,lunes,0,4,Madrugada,0,0,Manuela Sáenz,Vandalismo,2.671875,2,0
220,2025-07-17,7,jueves,3,12,Tarde,0,0,Quitumbe,Robo a personas,3.2319000000000004,4,1
221,2025-09-04,9,jueves,3,18,Noche,0,0,Quitumbe,Alteración del orden público,4.132499999999999,1,0
222,2025-11-20,11,jueves,3,21,Noche,0,0,Quitumbe,Robo a personas,4.4631,3,0
223,2025-07-22,7,martes,1,7,Mañana,0,0,Calderón,Emergencia comunitaria,1.687675,2,0
224,2025-07-03,7,jueves,3,8,Mañana,0,0,Eugenio Espejo,Alteración del orden público,3.004375,3,0
225,2025-05-03,5,sábado,5,16,Tarde,1,0,Tumbaco,Alteración del orden público,2.19375,1,0
226,2025-09-12,9,viernes,4,2,Madrugada,0,0,La Delicia,Robo a personas,4.05,4,1
227,2025-10-21,10,martes,1,18,Noche,0,0,La Delicia,Robo a personas,3.7192499999999997,4,1
228,2025-10-07,10,martes,1,10,Mañana,0,0,Calderón,Robo a personas,2.193075,1,0
229,2025-11-21,11,viernes,4,23,Noche,0,0,Eloy Alfaro,Robo de vehículos,3.4992000000000005,6,1
230,2025-04-08,4,martes,1,16,Tarde,0,0,Calderón,Alteración del orden público,2.030625,3,0
231,2025-07-17,7,jueves,3,20,Noche,0,0,Quitumbe,Alteración del orden público,4.132499999999999,3,0
232,2025-08-28,8,jueves,3,18,Noche,0,0,Eugenio Espejo,Alteración del orden público,3.9603125,1,0
233,2025-05-24,5,sábado,5,1,Madrugada,1,1,Eloy Alfaro,Alteración del orden público,6.58125,4,1
234,2025-04-07,4,lunes,0,7,Mañana,0,0,Eloy Alfaro,Robo de vehículos,3.3858,4,1
235,2025-07-20,7,domingo,6,18,Noche,1,0,Aeropuerto,Robo de vehículos,2.5578,1,0
236,2025-05-04,5,domingo,6,6,Mañana,1,0,Calderón,Robo a personas,2.9625750000000006,6,1
237,2025-07-06,7,domingo,6,16,Tarde,1,0,Eloy Alfaro,Vandalismo,2.2963500000000003,2,0
238,2025-11-22,11,sábado,5,5,Madrugada,1,0,Eugenio Espejo,Alteración del orden público,3.36375,3,0
239,2025-12-15,12,lunes,0,18,Noche,0,0,Quitumbe,Robo a personas,4.4631,2,0
240,2025-09-16,9,martes,1,23,Noche,0,0,Los Chillos,Robo a personas,1.962225,2,0
241,2025-05-28,5,miércoles,2,5,Madrugada,0,0,Eloy Alfaro,Vandalismo,2.07765,3,0
242,2025-09-09,9,martes,1,1,Madrugada,0,0,Manuela Sáenz,Emergencia comunitaria,2.5234375,3,0
243,2025-12-12,12,viernes,4,5,Madrugada,0,0,Los Chillos,Alteración del orden público,2.295,1,0
244,2025-05-27,5,martes,1,22,Noche,0,0,Eloy Alfaro,Robo de autopartes,2.654775,1,0
245,2025-05-28,5,miércoles,2,4,Madrugada,0,0,Manuela Sáenz,Robo de vehículos,3.5625,3,0
246,2025-12-18,12,jueves,3,18,Noche,0,0,Aeropuerto,Incidente de tránsito,2.0249249999999996,0,0
247,2025-07-18,7,viernes,4,19,Noche,0,0,Quitumbe,Emergencia comunitaria,3.5495999999999994,3,0
248,2025-11-04,11,martes,1,3,Madrugada,0,0,Manuela Sáenz,Robo de vehículos,3.5625,4,1
249,2025-05-08,5,jueves,3,21,Noche,0,0,Eloy Alfaro,Vandalismo,3.347325,5,1
250,2025-02-08,2,sábado,5,16,Tarde,1,0,Eloy Alfaro,Emergencia comunitaria,2.68515,5,1
